BALANCE GENERAL;NIT;Caja;Bancos;Cuentas De Ahorro;Fondos;SUBTOTAL DISPONIBLE;INVERSIONES CP;Clientes;Cuentas Corrientes Comerciales;Deudas De Difícil Cobro;Provisiones (db);TOTAL DEUDORES COMERCIALES;Cuentas Por Cobrar A Socios y Accionistas;Anticipos y Avances;Anticipo De Imptos. y Contrib.O Saldos A Favor;Cuentas Por Cobrar a Trabajadores;Activos Biológicos CP;Deudores Varios / Otros Activos No Financieros;TOTAL OTROS DEUDORES;Materias Primas;Productos En Proceso;Productos Terminados;M/Cías No Fabricadas Por La Emp;Materiales, Repuestos y Accesorios;Otros Inventarios y Provisiones;SUBTOTAL INVENTARIOS;Gastos Pagados Por Anticipado;Cargos Diferidos;Amortización Acumulada y Otros;SUBTOTAL DIFERIDO;TOTAL ACTIVO CORRIENTE;Inversiones LP;Activos biológicos no corrientes;CxC comerciales y otras CxC no corrientes;Subtotal Deudores A Largo Plazo;Propiedades Planta Y Equipo;Plusvalía;Activos intangibles distintos de la plusvalía;Subtotal Intangibles;Subtotal Diferidos;Inventarios no corrientes;Activos por impuestos corrientes, no corriente;Otros activos no financieros no corrientes;Activos LP pignorados como garantía para Vender;Subtotal Otros Activos;De Inversiones Y Otros;De Propiedades Planta Y Equipo;Subtotal Valorizaciones;TOTAL ACTIVO NO CORRIENTE;TOTAL ACTIVO;Obligaciones Financieras;Proveedores CP;Costos y Gastos Por Pagar;Retención En La Fuente;Deudas Con Accionistas O Socios;Impuesto A Las Ventas Retenido;Impuesto De Industria y Comercio Retenido;Provisiones, Retenciones y Aportes de Nómina;Otras provisiones corrientes;Acreedores;Otras Cuenta Por Pagar;SUBTOTAL CUENTAS POR PAGAR;IMPUESTOS GRAVAMENES Y TASAS;OBLIGACIONES LABORALES;SUBTOTAL PASIVOS ESTIMAD. Y PROVIS.;DIFERIDOS;Anticipos y Avances Recibidos;Otros;SUBTOTAL OTROS PASIVOS;SUBTOTAL BONOS Y PAPELES COMERCIA.;TOTAL PASIVO CORRIENTE;Obligaciones Financieras;Proveedores LP;Subtotal Cuentas Por Pagar;Impuestos Gravámenes y Tasas;Obligaciones Laborales;Subtotal Pasivos Estimad. y Provis.;Subtotal Diferidos;Subtotal Otros Pasivos;Subtotal Bonos y Papeles Comercia.;TOTAL PASIVO NO CORRIENTE;TOTAL PASIVO;Capital Suscrito y Pagado;Prima de emisión;Acciones propias en cartera;Aportes Sociales y Otros;SUBTOTAL CAPITAL SOCIAL;SUBTOTAL SUPERAVIT DE CAPITAL;RESERVAS;REVALORIZACION DEL PATRIMONIO;DIVIDEN. O PARTC. DECRET. EN ACC.O CUOTAS;RESULTADOS DEL EJERCICIO;RESULTADOS DE EJERCICIOS ANTERIORES;SUPERAVIT POR VALORIZACIONES;INVERSIÓN SUPLEMENTARIA AL CAPITAL Y AJUSTES AÑOS ANTERIORES;TOTAL PATRIMONIO;TOTAL PASIVO Y PATRIMONIO
2020;890930111;1,59;2.203,36;0;-;2.204,95;31,75;1.390,90;-;-;108,91;1.281,99;0;0;210,79;-;0;2.886,09;3.096,87;-;-;-;-;-;1.551,16;1.551,16;-;-;-;-;8.166,71;425,92;0;0;0;3.927,68;0;0;0;408,99;0;0;169,3;0;169,3;-;-;-;4.931,89;13.098,60;0;140,03;117,18;-;-;-;-;-;0;-;-;117,18;166,68;89,67;0;-;-;0;0;-;513,55;0;0;0;0;0;-;660,16;0;-;660,16;1.173,71;310;0;0;-;310;0;305;0;-;-;11.309,89;-;0;11.924,89;13.098,60
2019;890930111;-;2.228,72;-;-;2.228,72;1.817,47;1.985,18;-;-;-;1.985,18;-;0;156,63;-;0;0;156,63;-;-;-;-;-;1.430,91;1.430,91;-;-;-;-;7.618,91;829,87;0;0;0;3.913,32;0;0;0;405,43;0;0;0;0;0;-;-;-;5.148,62;12.767,53;0;157,1;-;-;-;-;-;84,94;0;-;0;84,94;226,96;-;-;-;-;-;-;-;469,01;0;0;0;0;-;-;690,11;0;-;690,11;1.159,12;310;0;0;-;310;0;305;0;-;-;10.993,41;-;0;11.608,41;12.767,53
2018;890930111;-;2.967,88;-;-;2.967,88;2.378,70;1.675,82;-;-;-;1.675,82;-;0;0;-;0;8,78;8,78;-;-;-;-;-;429,13;429,13;-;-;-;-;7.460,31;813,19;0;0;0;3.342,56;0;0;0;435,9;0;0;0;0;0;-;-;-;4.591,65;12.051,96;0;614,48;-;-;-;-;-;77,84;0;-;0;77,84;304,03;-;-;-;-;-;-;-;996,35;0;0;0;0;-;-;719,81;0;-;719,81;1.716,16;310;0;0;-;310;0;305;0;-;-;9.720,79;-;0;10.335,79;12.051,96
2017;890930111;11,27;1.770,23;-;-;1.781,50;1.480,64;1.771,53;-;-;-;1.771,53;0;1.968,23;0;-;0;0;1.968,23;-;-;-;-;-;703,24;703,24;-;-;-;-;7.705,13;602,57;0;0;0;3.777,18;0;0;0;435,9;0;0;169,3;0;169,3;-;-;-;4.984,94;12.690,08;0;555,18;0;-;-;-;-;103,71;0;-;0;103,71;590,35;-;-;-;-;-;-;-;1.249,24;0;0;-;0;0;0;719,81;0;-;719,81;1.969,05;310;0;0;-;310;0;305;0;-;-;10.106,02;-;0;10.721,02;12.690,08
2016;890930111;-;2.799,20;-;-;2.799,20;2.245,85;1.390,35;-;-;-;1.390,35;-;0;0;-;0;5,67;5,67;-;-;-;-;-;1.264,25;1.264,25;-;-;-;-;7.705,32;721,86;0;0;0;4.198,46;0;0;0;0;0;0;0;0;0;-;-;-;4.920,31;12.625,63;0;891,94;0;-;-;-;-;84,16;0;0;0;84,16;563,1;-;-;-;-;-;-;-;1.539,20;0;0;0;0;-;-;425,14;0;-;425,14;1.964,34;310;0;0;-;310;0;305;0;-;-;10.046,30;-;0;10.661,30;12.625,63
2015;890930111;1,95;551,05;896,84;5,71;1.455,54;0;1.837,54;0;0;16,25;1.821,29;0;142,91;84,17;9,19;-;94,46;330,72;701,81;0;0;28,87;0;0;730,68;9,51;0;0;9,51;4.347,74;2.550,40;-;-;0;1.977,87;-;-;0;0;-;-;-;-;0;15,4;220,87;236,27;4.764,54;9.112,28;0;205,77;18,73;10,87;0;2,31;0;23,6;-;6,01;116,72;178,23;702,68;69,56;0;0;97,07;0;97,07;0;1.253,30;0;0;0;0;23;0;0;0;0;23;1.276,30;310;-;-;0;310;0;305;1.514,77;0;1.289,98;4.179,96;236,27;-;7.835,98;9.112,28
2014;890930111;2,6;507,33;416,02;3,48;929,43;2.180,75;1.619,31;0;0;104,26;1.515,05;0;1,01;30,65;50,73;-;79,33;161,72;578,36;0;0;34,46;0;0;612,83;5,17;1,12;0;6,29;5.406,07;371,31;-;-;0;1.970,43;-;-;0;0;-;-;-;-;0;70,75;220,87;291,62;2.633,36;8.039,43;0;118,54;0;8,51;0;1,68;0;22,73;-;8,48;122,48;163,87;327,83;60,21;0;0;144,63;0;144,63;0;815,08;0;0;0;0;23;0;0;0;0;23;838,08;310;-;-;0;310;0;305;1.514,77;0;887,18;3.892,78;291,62;-;7.201,35;8.039,43
2013;890930111;1,72;572,79;867,39;427,5;1.869,40;1.101,80;1.510,93;0;0;95;1.415,93;0;287,71;0,04;37;-;78,28;403,03;703,12;0;0;0;0;0;703,12;5,16;0;0;5,16;5.498,44;313,22;-;-;0;1.752,57;-;-;0;44,19;-;-;-;-;0;47,94;220,87;268,81;2.378,78;7.877,21;0;121,56;0,81;3,01;0;1,08;0;15,4;-;27,16;618,76;666,22;245,85;50,2;0;0;65,52;0;65,52;0;1.149,34;0;0;0;0;50;0;0;0;0;50;1.199,34;310;-;-;0;310;0;305;1.548,59;0;925,49;3.319,99;268,81;-;6.677,87;7.877,21
2012;890930111;2,61;821,77;1.072,45;424,39;2.321,21;792,83;1.617,48;0;0;91,24;1.526,24;0;95,92;0,17;54,1;-;48,46;198,65;769,2;0;0;0;0;0;769,2;10,24;0;0;10,24;5.618,37;172,48;-;-;0;1.720,14;-;-;0;83,54;-;-;-;-;0;71,26;220,87;292,12;2.268,28;7.886,65;0;78,33;12,96;4,37;0;7,15;0;20,38;-;26,45;20,52;91,82;349,08;52,26;0;0;155,65;0;155,65;0;727,14;0;0;0;0;50;0;0;0;0;50;777,14;0;-;-;310;310;0;305;1.582,40;0;1.264,99;3.355,00;292,12;-;7.109,52;7.886,65
2011;890930111;4,2;1.033,83;377,3;355,16;1.770,49;936,43;1.506,43;0;0;76,48;1.429,94;0;4,01;0,17;48,07;-;39,36;91,6;805,4;0;0;0;0;0;805,4;4,56;101,48;0;106,04;5.139,90;182,92;-;-;0;1.625,73;-;-;0;0;-;-;-;-;0;176,99;220,87;397,85;2.206,50;7.346,40;0;283,26;0;0;0;0;0;19,28;-;26,09;55,11;100,47;374,95;177,96;0;0;125,69;0;125,69;0;1.062,34;0;0;0;0;0;0;0;0;0;0;1.062,34;0;-;-;310;310;0;305;1.616,22;0;1.020,11;2.634,89;397,85;-;6.284,07;7.346,40
