BALANCE GENERAL;NIT;Caja;Bancos;Cuentas De Ahorro;Fondos;SUBTOTAL DISPONIBLE;INVERSIONES CP;Clientes;Cuentas Corrientes Comerciales;Deudas De Difícil Cobro;Provisiones (db);TOTAL DEUDORES COMERCIALES;Cuentas Por Cobrar A Socios y Accionistas;Anticipos y Avances;Anticipo De Imptos. y Contrib.O Saldos A Favor;Cuentas Por Cobrar a Trabajadores;Activos Biológicos CP;Deudores Varios / Otros Activos No Financieros;TOTAL OTROS DEUDORES;Materias Primas;Productos En Proceso;Productos Terminados;M/Cías No Fabricadas Por La Emp;Materiales, Repuestos y Accesorios;Otros Inventarios y Provisiones;SUBTOTAL INVENTARIOS;Gastos Pagados Por Anticipado;Cargos Diferidos;Amortización Acumulada y Otros;SUBTOTAL DIFERIDO;TOTAL ACTIVO CORRIENTE;Inversiones LP;Activos biológicos no corrientes;CxC comerciales y otras CxC no corrientes;Subtotal Deudores A Largo Plazo;Propiedades Planta Y Equipo;Plusvalía;Activos intangibles distintos de la plusvalía;Subtotal Intangibles;Subtotal Diferidos;Inventarios no corrientes;Activos por impuestos corrientes, no corriente;Otros activos no financieros no corrientes;Activos LP pignorados como garantía para Vender;Subtotal Otros Activos;De Inversiones Y Otros;De Propiedades Planta Y Equipo;Subtotal Valorizaciones;TOTAL ACTIVO NO CORRIENTE;TOTAL ACTIVO;Obligaciones Financieras;Proveedores CP;Costos y Gastos Por Pagar;Retención En La Fuente;Deudas Con Accionistas O Socios;Impuesto A Las Ventas Retenido;Impuesto De Industria y Comercio Retenido;Provisiones, Retenciones y Aportes de Nómina;Otras provisiones corrientes;Acreedores;Otras Cuenta Por Pagar;SUBTOTAL CUENTAS POR PAGAR;IMPUESTOS GRAVAMENES Y TASAS;OBLIGACIONES LABORALES;SUBTOTAL PASIVOS ESTIMAD. Y PROVIS.;DIFERIDOS;Anticipos y Avances Recibidos;Otros;SUBTOTAL OTROS PASIVOS;SUBTOTAL BONOS Y PAPELES COMERCIA.;TOTAL PASIVO CORRIENTE;Obligaciones Financieras;Proveedores LP;Subtotal Cuentas Por Pagar;Impuestos Gravámenes y Tasas;Obligaciones Laborales;Subtotal Pasivos Estimad. y Provis.;Subtotal Diferidos;Subtotal Otros Pasivos;Subtotal Bonos y Papeles Comercia.;TOTAL PASIVO NO CORRIENTE;TOTAL PASIVO;Capital Suscrito y Pagado;Prima de emisión;Acciones propias en cartera;Aportes Sociales y Otros;SUBTOTAL CAPITAL SOCIAL;SUBTOTAL SUPERAVIT DE CAPITAL;RESERVAS;REVALORIZACION DEL PATRIMONIO;DIVIDEN. O PARTC. DECRET. EN ACC.O CUOTAS;RESULTADOS DEL EJERCICIO;RESULTADOS DE EJERCICIOS ANTERIORES;SUPERAVIT POR VALORIZACIONES;INVERSIÓN SUPLEMENTARIA AL CAPITAL Y AJUSTES AÑOS ANTERIORES;TOTAL PATRIMONIO;TOTAL PASIVO Y PATRIMONIO
2020;890916324;140,23;126,73;0;-;266,96;0;7.554,63;-;-;0;7.554,63;0;0;1.564,92;-;0;3.010,39;4.575,30;-;-;-;-;-;14.890,80;14.890,80;-;-;-;-;27.287,69;5.880,56;0;0;0;2.481,89;0;0;0;29,38;0;0;0;0;0;-;-;-;8.391,83;35.679,52;7.363,76;9.155,29;0;-;-;-;-;-;0;-;-;0;803,85;250,81;0;-;-;1.301,77;1.301,77;-;18.875,48;7.636,55;0;0;0;0;-;454,52;0;-;8.091,06;26.966,54;3.100,00;0;0;-;3.100,00;4.545,16;474,52;0;-;-;593,3;-;0;8.712,98;35.679,52
2019;890916324;-;178,67;-;-;178,67;2.422,80;4.230,10;-;-;-;4.230,10;-;0;1.273,88;-;0;0;1.273,88;-;-;-;-;-;11.125,30;11.125,30;-;-;-;-;19.230,75;2.810,00;0;0;0;1.215,23;0;0;0;29,38;0;0;0;0;0;-;-;-;4.054,61;23.285,36;6.246,94;2.428,52;-;-;-;-;-;309,47;0;-;472,62;782,09;383,37;-;-;-;-;-;-;-;9.840,91;7.714,55;0;0;0;-;-;145,5;0;-;7.860,05;17.700,96;3.100,00;0;0;-;3.100,00;1.325,00;474,52;0;-;-;684,88;-;0;5.584,40;23.285,36
2018;890916324;-;299,64;-;-;299,64;0;10.582,88;-;-;-;10.582,88;-;0;0;-;0;0;0;-;-;-;-;-;13.641,98;13.641,98;-;-;-;-;24.524,50;2.500,00;0;0;0;1.416,35;0;0;0;0;0;0;0;0;0;-;-;-;3.916,35;28.440,84;8.866,65;8.052,56;-;-;-;-;-;0;0;-;0;0;0;-;-;-;-;-;-;-;16.919,21;6.848,86;0;0;0;-;-;0;0;-;6.848,86;23.768,06;2.500,00;0;0;-;2.500,00;0;402,53;0;-;-;1.770,25;-;0;4.672,78;28.440,84
2017;890916324;61,07;144,65;-;-;205,73;0;9.635,32;-;-;-;9.635,32;0;0;0;-;0;0;0;-;-;-;-;-;6.974,19;6.974,19;-;-;-;-;16.815,23;2.500,00;0;0;0;628,48;0;0;0;0;0;0;800;0;800;-;-;-;3.928,48;20.743,71;0;4.680,84;5.070,97;-;-;-;-;0;0;-;0;5.070,97;0;-;-;-;-;-;-;-;9.751,81;0;0;-;0;0;0;0;6.991,11;-;6.991,11;16.742,93;1.335,00;0;0;-;1.335,00;0;330,08;0;-;-;2.335,71;-;0;4.000,79;20.743,71
2016;890916324;-;34,86;-;-;34,86;0;7.960,13;-;-;-;7.960,13;-;0;0;-;0;0;0;-;-;-;-;-;4.361,54;4.361,54;-;-;-;-;12.356,53;2.500,00;0;0;0;797,83;0;0;0;0;0;0;0;0;0;-;-;-;3.297,83;15.654,36;6.534,40;1.434,42;-;-;-;-;-;184,67;0;-;0;184,67;602,36;-;-;-;-;-;-;-;8.755,85;3.489,70;0;0;0;-;-;132,5;0;-;3.622,20;12.378,05;835;0;0;-;835;0;164,71;0;-;-;2.276,60;-;0;3.276,31;15.654,36
2015;890916324;24,06;4,19;0;0;28,25;0;3.644,53;0;0;0;3.644,53;143,51;433,36;578,23;8,11;-;44,75;1.207,95;2.576,63;1.615,62;512,53;0;0;0;4.704,78;0;0;0;0;9.585,51;0;-;-;275;1.202,67;-;-;368,16;55,59;-;-;-;-;0;0;0;0;1.901,42;11.486,93;4.789,54;1.274,51;356,74;40,65;0;4,12;0;38,71;-;9,91;0;450,12;554,43;130,27;0;0;111,98;0;111,98;0;7.310,84;2.482,72;0;0;0;0;0;0;0;0;2.482,72;9.793,56;835;-;-;0;835;0;92,05;0;0;726,63;39,69;0;-;1.693,37;11.486,93
2014;890916324;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2013;890916324;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2012;890916324;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2011;890916324;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2010;890916324;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2009;890916324;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2008;890916324;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2007;890916324;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2006;890916324;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
