ESTADO DE RESULTADOS;sector;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;Otros Gastos No Operacionales;Ajustes No Operacionales Normas Internacionales;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo;Amortizaciones
2020;calzado;800058369;1525.43;292.95;1232.48;166.63;1152.24;136.09;49.70;0.12;293.46;293.46;0.00;0.00;243.64;20.01;0.00;263.65;364.05;0.00
2019;calzado;800058369;1648.82;57.80;1591.02;1021.34;59.04;222.16;732.80;0.85;375.18;375.18;0.00;0.00;358.47;81.70;0.00;276.77;358.86;0.00
2018;calzado;800058369;1880.22;218.86;1661.36;1059.28;52.49;113.40;662.99;0.03;323.33;323.33;0.00;0.00;339.69;264.68;0.00;75.01;344.03;0.00
2017;calzado;800058369;1336.50;308.05;1028.44;515.07;138.21;7.25;367.91;0.66;338.80;338.80;0.00;0.00;29.77;43.10;0.00;13.33;0.00;0.00
2016;calzado;800058369;1379.32;0.00;1379.32;744.81;34.24;527.50;1127.77;11.49;284.19;284.19;0.00;0.00;855.07;29.48;0.00;825.59;16.91;0.00
2015;calzado;800058369;1529.52;0.00;1529.52;918.68;82.41;0.00;528.43;68.66;64.68;46.87;17.81;0.00;532.41;199.83;0.00;332.58;0.00;0.00
2014;calzado;800058369;777.47;0.00;777.47;244.32;123.88;0.00;409.27;142.46;52.17;0.00;0.00;0.00;499.57;155.52;0.00;344.05;87.81;0.00
2013;calzado;800058369;7519.96;6185.80;1334.15;919.84;58.00;0.00;356.31;2.17;33.50;0.00;0.00;0.00;324.99;121.54;0.00;203.45;74.18;0.00
2012;calzado;800058369;472.10;5.00;467.10;423.88;0.00;0.00;43.22;4.37;8.50;0.00;0.00;0.00;39.09;17.79;0.00;21.31;34.09;0.00
2011;calzado;800058369;4080.83;3400.54;680.30;484.24;59.14;0.00;136.92;61.56;53.99;0.00;0.00;0.00;144.49;54.70;0.00;89.79;36.69;13.34
2010;calzado;800058369;635.25;572.80;62.46;206.66;59.50;0.00;203.70;316.09;20.78;0.00;0.00;0.00;91.61;31.91;0.00;59.70;78.59;4.81
2009;calzado;800058369;780.64;733.99;46.65;209.97;88.90;0.00;252.22;543.95;100.59;0.00;0.00;0.00;191.14;70.79;0.00;120.35;35.17;8.80
2008;calzado;800058369;2741.81;1802.88;938.94;365.19;407.92;0.00;165.82;418.64;327.65;0.00;0.00;0.00;256.82;90.94;0.00;165.88;137.13;56.46
2007;calzado;800058369;3746.65;2280.88;1465.77;387.78;636.80;0.00;441.19;410.05;320.93;0.00;0.00;0.00;530.30;186.49;0.00;343.81;0.00;0.00
2006;calzado;800058369;3526.14;2152.84;1373.31;287.92;394.22;0.00;691.17;209.56;573.41;0.00;0.00;46.07;327.32;27.89;0.00;345.50;0.00;0.00
