ESTADO DE RESULTADOS;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo
2020;860079291;6.761,90;5.466,26;1.295,64;22,53;698,24;88,71;663,58;39,98;56,02;56,02;647,54;215,78;0;431,76;191,72
2019;860079291;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2018;860079291;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;860079291;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2016;860079291;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2015;860079291;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2014;860079291;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2013;860079291;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2012;860079291;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2011;860079291;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2010;860079291;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2009;860079291;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2008;860079291;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2007;860079291;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2006;860079291;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
