ESTADO DE RESULTADOS;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;Otros Gastos No Operacionales;Ajustes No Operacionales Normas Internacionales;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo;Amortizaciones
2020;890924742;46.425,15;41.490,75;4.934,40;795,97;2.737,99;288,19;1.688,62;8,01;555,07;555,07;-;-;1.141,57;1.245,15;0;-103,58;916,35;-
2019;890924742;53.201,25;44.732,27;8.468,98;4.650,06;307,92;283,25;3.794,24;69,7;1.557,11;1.557,11;0;0;2.306,84;1.577,99;0;728,85;1.091,21;-
2018;890924742;49.971,81;41.311,38;8.660,43;4.094,45;117,92;445,3;4.893,36;0;1.667,27;1.667,27;-;0;3.226,10;1.096,87;0;2.129,22;0;-
2017;890924742;46.143,57;39.356,30;6.787,27;4.571,94;158,29;-2.029,76;27,29;0;0;0;0;0;27,29;0;0;27,29;0;-
2016;890924742;44.925,07;38.147,86;6.777,21;4.444,22;145,87;-2.243,60;-56,48;0;0;0;-;-;-56,48;0;0;-56,48;1.727,97;-
2015;890924742;42.458,25;38.335,73;4.122,52;3.433,75;147,78;-;541;409,81;1.323,52;0;1.323,52;-;-372,71;0;-;-372,71;-;-
2014;890924742;45.542,77;38.790,94;6.751,83;4.168,98;198,06;-;2.384,80;261,5;2.355,81;-;-;-;290,48;144,89;-;145,6;419,09;33,2
2013;890924742;41.574,04;35.063,63;6.510,41;3.949,51;175,89;-;2.385,01;136,6;2.105,02;-;-;-;416,59;131,74;-;284,85;309;69,16
2012;890924742;33.454,76;28.321,05;5.133,71;2.989,20;116,75;-;2.027,76;110,65;1.712,54;-;-;-;425,87;173,67;-;252,2;173,01;44,89
2011;890924742;33.869,08;29.511,83;4.357,24;2.603,19;94,18;-;1.659,87;325,22;1.329,78;-;-;-;655,32;278,61;-;376,71;124,46;27,06
2010;890924742;28.576,08;23.893,42;4.682,66;2.119,70;134,62;-;2.428,35;136,8;1.233,82;-;-;-;1.331,32;482,3;-;849,02;106,41;25,16
2009;890924742;23.920,41;19.930,51;3.989,90;2.009,70;125,23;-;1.854,97;120,99;979,03;-;-;-;996,93;351,41;-;645,53;102,73;18,79
2008;890924742;25.228,07;21.977,78;3.250,29;1.737,06;144,92;-;1.368,32;134;752,57;-;-;-;749,75;283,4;-;466,34;108,46;11,59
2007;890924742;22.493,68;19.141,56;3.352,12;1.509,30;272,72;-;1.570,10;117,02;787,37;-;-;-;899,75;379,37;-;520,38;-;-
2006;890924742;21.152,61;17.725,18;3.427,43;1.296,09;283,45;-;1.847,89;91,83;923,25;-;-;-20,07;1.016,48;383,62;-;612,79;-;-
