ESTADO DE RESULTADOS;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;Otros Gastos No Operacionales;Ajustes No Operacionales Normas Internacionales;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo
2020;900436389;5.694,52;3.811,99;1.882,53;327,74;1.050,90;0;503,89;0;217,95;217,95;-;-;285,94;140,43;0;145,51;124,98
2019;900436389;5.286,02;3.578,79;1.707,23;1.153,74;362,97;-3,05;187,46;299,31;342,47;342,47;0;0;144,3;141,6;0;2,69;0
2018;900436389;8.077,82;6.189,22;1.888,59;787,29;222,94;-23,62;854,75;438,14;696,85;696,85;-;0;596,03;201,18;0;394,85;119,98
2017;900436389;6.064,65;4.680,88;1.383,77;606,07;352,55;-48,38;376,77;0;0;0;0;0;376,77;139,17;0;237,6;43,66
2016;900436389;4.320,56;2.547,06;1.773,50;689,71;369,4;-426,31;288,08;108,29;0;0;-;-;396,37;0;0;396,37;25,87
2015;900436389;3.528,97;3.062,69;466,28;441,08;398,35;-;-373,15;992,5;119,71;15,1;104,62;-;499,63;124,91;-;374,72;-
2014;900436389;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2013;900436389;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2012;900436389;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2011;900436389;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2010;900436389;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2009;900436389;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2008;900436389;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2007;900436389;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2006;900436389;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
