ESTADO DE RESULTADOS;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;Otros Gastos No Operacionales;Ajustes No Operacionales Normas Internacionales;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo;Amortizaciones
2020;860069040;19.161,64;14.356,30;4.805,34;3.451,97;1.451,24;519,77;421,9;20,72;1.309,38;1.309,38;-;-;-866,76;28,84;0;-895,6;315,98;-
2019;860069040;27.262,04;19.314,27;7.947,77;1.587,09;4.164,59;-29,78;2.166,31;84,24;874,02;874,02;0;0;1.376,52;515,06;0;861,46;365,67;-
2018;860069040;23.304,23;16.197,70;7.106,54;1.521,54;3.855,51;122,44;1.851,93;25,55;1.054,98;1.054,98;-;0;822,49;373,64;0;448,85;349,17;-
2017;860069040;22.343,66;15.597,09;6.746,57;1.553,91;3.471,21;398,14;2.119,60;17,67;1.238,30;1.238,30;0;0;898,98;602,54;0;296,44;344,03;-
2016;860069040;21.401,49;15.179,14;6.222,35;2.031,60;3.273,77;1.752,38;2.669,37;386,4;1.890,45;1.890,45;-;-;1.165,32;378,4;0;786,92;398,52;-
2015;860069040;27.317,72;20.390,33;6.927,39;2.150,68;4.767,50;-;9,2;1.280,34;3.117,86;1.202,86;1.915,00;-;-1.828,32;86,83;-;-1.915,15;-;-
2014;860069040;30.252,99;22.138,67;8.114,32;1.458,09;2.822,36;-;3.833,87;989,65;2.634,06;-;-;-;2.189,47;1.026,36;-;1.163,11;262,41;523,07
2013;860069040;32.743,12;24.538,24;8.204,88;1.583,62;2.828,85;-;3.792,40;562,38;1.211,59;-;-;-;3.143,18;1.199,15;-;1.944,03;245,8;388,59
2012;860069040;28.724,02;20.238,99;8.485,03;1.169,58;2.258,98;-;5.056,48;570,11;2.579,33;-;-;-;3.047,26;1.578,67;-;1.468,59;233,2;103,31
2011;860069040;28.238,38;19.593,14;8.645,24;946,4;2.307,20;-;5.391,64;430,97;1.898,84;-;-;-;3.923,77;1.140,13;-;2.783,64;175,81;107,73
2010;860069040;22.154,81;15.342,22;6.812,59;803,1;1.889,90;-;4.119,59;341,63;1.599,51;-;-;-;2.861,72;745,27;-;2.116,45;156,48;63,56
2009;860069040;17.234,99;13.080,45;4.154,53;779,89;1.689,66;-;1.684,99;1.018,97;1.186,05;-;-;-;1.517,91;565,5;-;952,41;136,62;77,75
2008;860069040;18.224,19;12.948,10;5.276,09;810,44;1.940,41;-;2.525,25;927,6;1.313,49;-;-;-;2.139,36;499,39;-;1.639,97;177,71;76,86
2007;860069040;12.877,91;9.456,81;3.421,10;634,65;1.592,71;-;1.193,74;442,75;786,06;-;-;-;850,44;281,39;-;569,05;-;-
2006;860069040;12.003,59;9.124,17;2.879,43;789,21;954,72;-;1.135,51;230,93;394,18;-;-;50,77;972,26;254,35;-;768,67;-;-
