ESTADO DE RESULTADOS;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;Otros Gastos No Operacionales;Ajustes No Operacionales Normas Internacionales;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo
2020;900066868;17.266,72;12.997,26;4.269,46;2.005,19;383,45;0;1.880,82;267,29;1.026,23;1.026,23;-;-;1.121,89;381,86;0;740,03;155,33
2019;900066868;15.965,72;11.928,15;4.037,58;435,95;2.153,03;0;1.448,60;161,5;789,54;789,54;0;0;820,55;288,36;0;532,19;170,77
2018;900066868;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;900066868;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2016;900066868;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2015;900066868;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2014;900066868;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2013;900066868;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2012;900066868;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2011;900066868;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2010;900066868;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2009;900066868;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2008;900066868;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2007;900066868;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2006;900066868;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
