ESTADO DE RESULTADOS;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;Otros Gastos No Operacionales;Ajustes No Operacionales Normas Internacionales;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo;Amortizaciones
2020;830059437;13.508,87;10.887,16;2.621,71;178,75;1.512,06;0;930,91;0;201,86;201,86;-;-;729,06;233,3;0;495,76;207,17;-
2019;830059437;9.320,10;7.359,92;1.960,18;1.165,87;131,96;-245,54;416,82;0;0;0;0;0;416,82;137,55;-41,68;237,59;351,42;-
2018;830059437;6.976,09;5.280,89;1.695,21;890,36;193,56;-35,61;575,68;0;255,18;255,18;-;0;320,5;117,52;0;202,98;240,42;-
2017;830059437;7.356,37;5.951,56;1.404,82;721,59;130,94;0;552,29;0;253,24;253,24;0;0;299,04;101,67;0;197,37;230,28;-
2016;830059437;7.790,11;6.482,91;1.307,20;559,42;139,57;-174,06;434,15;0;0;0;-;-;434,15;147,61;0;286,54;126,59;-
2015;830059437;6.148,77;5.083,07;1.065,70;607,48;86,7;-;371,53;1,68;59,39;14,87;44,52;-;313,82;106,7;-;207,12;-;-
2014;830059437;6.043,60;5.267,70;775,9;422,05;111,31;-;242,54;0;43,88;-;-;-;198,66;49,66;-;148,99;113,15;0
2013;830059437;3.801,01;3.380,08;420,94;306,73;6,46;-;107,74;0;45,85;-;-;-;61,9;15,47;-;46,42;32,02;0
2012;830059437;3.365,33;2.674,72;690,61;551,53;10,53;-;128,55;0;73,84;-;-;-;54,71;0;-;54,71;29,33;0
2011;830059437;3.225,85;2.767,91;457,93;867,07;11,57;-;-420,7;216,77;86,98;-;-;-;-290,91;0;-;-290,91;24,74;0
2010;830059437;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2009;830059437;1.330,45;1.261,02;69,43;44,21;14,74;-;10,48;30;4,88;-;-;-;35,61;14,46;-;21,15;-;-
2008;830059437;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2007;830059437;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2006;830059437;2.107,35;1.760,43;346,92;264,3;0;-;82,62;0;0;-;-;51,29;82,62;70,48;-;63,43;-;-
