ESTADO DE RESULTADOS;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;Otros Gastos No Operacionales;Ajustes No Operacionales Normas Internacionales;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo
2020;900453274;4.952,36;3.882,38;1.069,99;0;700,27;-10,65;359,07;0;55,61;55,61;-;-;303,47;97,11;0;206,36;191
2019;900453274;2.427,01;1.715,06;711,95;548,12;0;3,54;167,36;0;15,63;15,63;0;0;151,73;50,19;0;101,55;0
2018;900453274;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;900453274;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2016;900453274;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2015;900453274;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2014;900453274;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2013;900453274;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2012;900453274;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2011;900453274;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2010;900453274;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2009;900453274;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2008;900453274;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2007;900453274;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2006;900453274;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
