ESTADO DE RESULTADOS;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo
2020;901242040;12.790,97;10.932,09;1.858,88;82;1.126,33;994,49;1.645,04;627,41;1.193,04;1.193,04;1.079,41;246,13;0;833,28;195,76
2019;901242040;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2018;901242040;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;901242040;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2016;901242040;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2015;901242040;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2014;901242040;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2013;901242040;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2012;901242040;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2011;901242040;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2010;901242040;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2009;901242040;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2008;901242040;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2007;901242040;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2006;901242040;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
