ESTADO DE RESULTADOS;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;Otros Gastos No Operacionales;Ajustes No Operacionales Normas Internacionales;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo;Amortizaciones
2020;811017434;23.280,21;18.945,47;4.334,75;2.879,08;1.811,41;218,9;-136,85;2.815,91;2.542,76;2.542,76;-;0;136,3;53,6;0;82,7;759,73;-
2019;811017434;28.359,70;22.148,64;6.211,06;1.887,95;3.063,19;164,54;1.424,46;1.900,00;2.099,56;2.099,56;0;0;1.224,90;431,35;0;793,55;690,26;-
2018;811017434;26.396,47;20.830,65;5.565,82;1.973,63;2.804,95;344,44;1.131,69;1.132,91;1.858,67;1.858,67;-;0;405,94;89,42;0;316,51;333,28;-
2017;811017434;25.935,29;19.171,32;6.763,97;1.948,92;2.967,81;444,21;2.291,45;803,78;764,58;764,58;0;0;2.330,65;674,92;0;1.655,73;256,91;-
2016;811017434;26.886,03;18.357,59;8.528,44;2.806,81;1.892,03;285,32;4.114,92;0;180,91;180,91;0;0;3.934,02;1.291,23;0;2.642,78;239,42;-
2015;811017434;27.577,77;18.603,38;8.974,39;1.760,99;2.412,55;-;4.800,85;3.025,72;4.164,99;1,98;4.163,01;-;3.661,58;1.413,15;-;2.248,43;-;-
2014;811017434;18.930,13;12.147,61;6.782,52;1.557,54;2.088,81;-;3.136,17;920,09;1.974,80;-;-;-;2.081,46;802,72;-;1.278,74;185,84;16,83
2013;811017434;16.515,28;10.490,09;6.025,20;1.649,69;1.927,84;-;2.447,66;600,77;1.601,93;-;-;-;1.446,49;490,6;-;955,89;244,25;15,7
2012;811017434;17.464,57;10.432,28;7.032,29;1.687,34;2.133,46;-;3.211,49;787,64;2.330,75;-;-;-;1.668,38;597,1;-;1.071,28;237,44;39,82
2011;811017434;18.038,87;11.073,06;6.965,81;1.742,29;1.996,86;-;3.226,65;1.067,13;2.306,88;-;-;-;1.986,91;659,64;-;1.327,27;234,11;29,83
2010;811017434;16.241,91;9.507,85;6.734,06;1.885,35;1.940,91;-;2.907,81;842,4;2.153,15;-;-;-;1.597,05;603,81;-;993,24;235,79;75,89
2009;811017434;14.931,52;10.213,77;4.717,75;1.971,65;1.511,80;-;1.234,30;3.686,09;3.999,97;-;-;-;920,41;510,86;-;409,55;238,89;20,04
2008;811017434;17.006,37;11.641,94;5.364,42;1.943,27;1.672,43;-;1.748,73;3.027,25;4.243,52;-;-;-;532,46;309,93;-;222,53;286,06;51,71
2007;811017434;18.413,47;13.230,39;5.183,09;2.046,40;1.568,62;-;1.568,06;2.210,04;2.455,96;-;-;-;1.322,14;553,5;-;768,65;-;-
2006;811017434;19.368,34;14.734,00;4.634,35;1.854,40;1.972,03;-;807,92;2.487,23;2.785,85;-;-;137,42;509,29;678,37;-;-31,66;-;-
