BALANCE GENERAL;Nit;Caja;Bancos;Cuentas De Ahorro;Fondos;SUBTOTAL DISPONIBLE;INVERSIONES CP;Clientes;Cuentas Corrientes Comerciales;Deudas De Difícil Cobro;Provisiones (db);TOTAL DEUDORES COMERCIALES;Cuentas Por Cobrar A Socios y Accionistas;Anticipos y Avances;Anticipo De Imptos. y Contrib.O Saldos A Favor;Cuentas Por Cobrar a Trabajadores;Activos Biológicos CP;Deudores Varios / Otros Activos No Financieros;TOTAL OTROS DEUDORES;Materias Primas;Productos En Proceso;Productos Terminados;M/Cías No Fabricadas Por La Emp;Materiales, Repuestos y Accesorios;Otros Inventarios y Provisiones;SUBTOTAL INVENTARIOS;Gastos Pagados Por Anticipado;Cargos Diferidos;Amortización Acumulada y Otros;SUBTOTAL DIFERIDO;TOTAL ACTIVO CORRIENTE;Inversiones LP;Activos biológicos no corrientes;CxC comerciales y otras CxC no corrientes;Subtotal Deudores A Largo Plazo;Propiedades Planta Y Equipo;Plusvalía;Activos intangibles distintos de la plusvalía;Subtotal Intangibles;Subtotal Diferidos;Inventarios no corrientes;Activos por impuestos corrientes, no corriente;Otros activos no financieros no corrientes;Activos LP pignorados como garantía para Vender;Subtotal Otros Activos;De Inversiones Y Otros;De Propiedades Planta Y Equipo;Subtotal Valorizaciones;TOTAL ACTIVO NO CORRIENTE;TOTAL ACTIVO;Obligaciones Financieras;Proveedores CP;Costos y Gastos Por Pagar;Retención En La Fuente;Deudas Con Accionistas O Socios;Impuesto A Las Ventas Retenido;Impuesto De Industria y Comercio Retenido;Provisiones, Retenciones y Aportes de Nómina;Otras provisiones corrientes;Acreedores;Otras Cuenta Por Pagar;SUBTOTAL CUENTAS POR PAGAR;IMPUESTOS GRAVAMENES Y TASAS;OBLIGACIONES LABORALES;SUBTOTAL PASIVOS ESTIMAD. Y PROVIS.;DIFERIDOS;Anticipos y Avances Recibidos;Otros;SUBTOTAL OTROS PASIVOS;SUBTOTAL BONOS Y PAPELES COMERCIA.;TOTAL PASIVO CORRIENTE;Obligaciones Financieras;Proveedores LP;Subtotal Cuentas Por Pagar;Impuestos Gravámenes y Tasas;Obligaciones Laborales;Subtotal Pasivos Estimad. y Provis.;Subtotal Diferidos;Subtotal Otros Pasivos;Subtotal Bonos y Papeles Comercia.;TOTAL PASIVO NO CORRIENTE;TOTAL PASIVO;Capital Suscrito y Pagado;Prima de emisión;Acciones propias en cartera;Aportes Sociales y Otros;SUBTOTAL CAPITAL SOCIAL;SUBTOTAL SUPERAVIT DE CAPITAL;RESERVAS;REVALORIZACION DEL PATRIMONIO;DIVIDEN. O PARTC. DECRET. EN ACC.O CUOTAS;RESULTADOS DEL EJERCICIO;RESULTADOS DE EJERCICIOS ANTERIORES;SUPERAVIT POR VALORIZACIONES;INVERSIÓN SUPLEMENTARIA AL CAPITAL Y AJUSTES AÑOS ANTERIORES;TOTAL PATRIMONIO;TOTAL PASIVO Y PATRIMONIO
2020;900219353;2;4.244,73;0;-;4.246,73;0;101.937,87;-;-;1.311,32;100.626,55;0;46,48;3.904,47;-;0;130,18;4.081,13;-;-;-;-;-;27.363,62;27.363,62;-;-;-;-;136.318,02;0;0;0;0;249,97;0;29,89;29,89;3.684,54;0;0;0;0;0;-;-;-;3.964,39;140.282,41;0;0;117.653,12;-;-;-;-;-;0;-;-;117.653,12;485,74;0;0;-;-;1.840,48;1.840,48;-;119.979,34;0;0;0;0;0;-;0;0;-;0;119.979,34;16;24.899,14;0;-;24.915,14;0;0;0;-;-;-4.612,06;-;0;20.303,07;140.282,41
2019;900219353;-;2.199,80;-;-;2.199,80;0;14.079,31;-;-;-;14.079,31;-;0;3.244,05;-;0;0;3.244,05;-;-;-;-;-;20.759,91;20.759,91;-;-;-;-;40.283,06;0;0;0;0;166,2;0;26,25;26,25;1.644,18;0;0;46,48;0;46,48;-;-;-;1.883,11;42.166,16;1.493,27;36.050,76;-;-;-;-;-;0;0;-;0;0;0;-;-;-;-;-;-;-;37.544,03;0;0;0;0;-;-;0;2.280,16;-;2.280,16;39.824,18;16;24.899,14;0;-;24.915,14;0;0;0;-;-;-22.573,15;-;0;2.341,98;42.166,16
2018;900219353;-;858,73;-;-;858,73;0;10.394,28;-;-;-;10.394,28;-;0;2.879,38;-;0;0;2.879,38;-;-;-;-;-;4.982,28;4.982,28;-;-;-;-;19.114,67;0;0;0;0;164,17;0;0;0;0;0;0;0;0;0;-;-;-;164,17;19.278,83;0;20.703,75;-;-;-;-;-;0;0;-;475,79;475,79;215,37;-;-;-;-;-;-;-;21.394,91;0;0;0;0;-;-;117,21;450,39;-;567,6;21.962,51;15;19.508,90;0;-;19.523,90;0;0;0;-;-;-22.207,58;-;0;-2.683,68;19.278,83
2017;900219353;1;801,42;-;-;802,42;0;9.912,11;-;-;-;9.912,11;0;0;21.761,03;-;0;0;21.761,03;-;-;-;-;-;2.742,54;2.742,54;-;-;-;-;35.218,11;0;0;0;0;236,07;0;37;37;0;0;0;0;0;0;-;-;-;273,06;35.491,17;0;35.581,05;469,49;-;-;-;-;0;0;-;0;469,49;143,53;-;-;-;-;-;-;-;36.194,06;0;0;-;0;0;0;1.033,70;675,31;-;1.709,01;37.903,07;15;19.508,90;0;-;19.523,90;0;0;0;-;-;-21.935,80;-;0;-2.411,90;35.491,17
2016;900219353;-;2.348,01;-;-;2.348,01;0;12.358,66;-;-;-;12.358,66;-;0;2.074,05;-;0;0;2.074,05;-;-;-;-;-;17.691,79;17.691,79;-;-;-;-;34.472,52;0;0;0;0;306,23;0;1,55;1,55;0;0;0;0;0;0;-;-;-;307,78;34.780,29;0;38.109,92;-;-;-;-;-;0;0;-;323,64;323,64;126,85;-;-;-;-;-;-;-;38.560,42;0;0;0;0;-;-;786,48;225,45;-;1.011,92;39.572,34;13,4;14.090,33;0;-;14.103,73;0;0;0;-;-;-18.895,77;-;0;-4.792,05;34.780,29
2015;900219353;1;3.137,20;0;0;3.138,20;0;15.743,83;0;0;253,59;15.490,25;0;186,75;2.081,34;0;-;120;2.388,09;26.134,57;0;0;0;0;0;26.134,57;0;0;0;0;47.151,11;0;-;-;0;63,85;-;-;3,09;0;-;-;-;-;0;0;0;0;66,95;47.218,06;0;48.606,05;0;0;0;0;0;0;-;0;84,94;84,94;94;178,91;1,7;0;1.718,21;0;1.718,21;0;50.683,81;0;0;0;0;0;0;0;0;0;0;50.683,81;0;-;-;13,4;13,4;14.090,33;0;0;0;-4.894,90;-12.674,57;0;-;-3.465,75;47.218,06
2014;900219353;1;636,36;0;0;637,36;0;4.920,84;0;0;253,59;4.667,25;0;6,4;1.771,53;0;-;20;1.797,92;12.369,24;0;0;0;0;0;12.369,24;0;0;0;0;19.471,77;0;-;-;0;68,85;-;-;4,64;0;-;-;-;-;0;0;0;0;73,49;19.545,26;0;19.537,79;13,15;37,76;0;0;0;0;-;0;0;50,91;55,97;194,79;1,76;0;5.972,14;0;5.972,14;0;25.813,35;0;0;0;0;0;0;0;0;0;0;25.813,35;0;-;-;448,43;448,43;6.405,48;0;0;0;-5.668,27;-7.453,73;0;-;-6.268,09;19.545,26
2013;900219353;1;108,65;0;0;109,65;0;3.883,94;0;0;258,45;3.625,49;0;6,35;1.585,31;0;-;20;1.611,66;8.922,32;0;0;0;0;0;8.922,32;0;23,02;0;23,02;14.292,14;0;-;-;0;80,38;-;-;0;0;-;-;-;-;0;0;0;0;80,38;14.372,52;0;14.745,47;6,37;15,86;0;0;0;0;-;0;0;22,23;4,43;162,69;1,75;0;35,77;0;35,77;0;14.972,34;0;0;0;0;0;0;0;0;0;0;14.972,34;0;-;-;448,43;448,43;6.405,48;0;0;0;-1.157,98;-6.295,75;0;-;-599,82;14.372,52
2012;900219353;1;441;0;0;442;0;4.812,40;0;0;196,43;4.615,97;0;258,47;1.306,93;0;-;20;1.585,40;163,58;0;0;0;0;0;163,58;0;0;0;0;6.806,95;0;-;-;0;81,02;-;-;0,85;106,21;-;-;-;-;0;0;0;0;188,07;6.995,02;0;6.191,84;12,58;14,18;0;0;0;0;-;0;0;26,76;16,35;170,44;0,05;0;44,54;0;44,54;0;6.449,99;0;0;0;0;0;0;0;0;0;0;6.449,99;0;-;-;448,43;448,43;6.405,48;0;0;0;-90,59;-6.218,28;0;-;545,04;6.995,02
2011;900219353;1;10.994,40;0;0;10.995,40;0;4.981,37;0;0;0;4.981,37;0;1,83;1.266,05;0;-;20;1.287,88;1.861,85;0;0;0;0;0;1.861,85;0;0;0;0;19.126,50;0;-;-;0;78,13;-;-;1,61;190,92;-;-;-;-;0;0;0;0;270,65;19.397,15;0;24.264,85;12,75;8,8;0;0;0;0;-;0;0;21,55;24,05;113,16;0,05;0;184,15;561,18;745,33;0;25.169,00;0;0;0;0;0;0;0;0;0;0;25.169,00;0;-;-;446,43;446,43;0;0;0;0;-4.906,99;-1.311,29;0;-;-5.771,85;19.397,15
