;;;;;;;;;;;;;;;
BALANCE GENERAL;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006
Caja;62,41;-;-;41,07;-;-;-;-;10,96;13,14;20,5;9,12;5,64;5,16;6,87
Bancos;1.000,31;744,21;-;979,54;3.045,65;-;-;-;729,53;807,19;474,77;2,82;46,69;5,62;27,47
Cuentas De Ahorro;0;-;-;-;-;-;-;-;117,88;66,19;0;23,33;276,79;32,27;48,73
Fondos;-;-;-;-;-;-;-;-;0;0;77,22;0;0;0;0
SUBTOTAL DISPONIBLE;1.062,72;744,21;-;1.020,61;3.045,65;-;-;-;858,38;886,51;572,49;35,27;329,12;43,04;83,06
INVERSIONES CP;0;0;-;101,77;0;-;-;-;0;0;0;1,59;0;0;1,9
Clientes;4.724,56;4.782,35;-;7.355,97;6.006,26;-;-;-;3.566,40;3.099,39;2.233,33;2.280,32;1.590,39;2.041,39;2.481,48
Cuentas Corrientes Comerciales;-;-;-;-;-;-;-;-;0;0;0;0;0;0;0
Deudas De Difícil Cobro;-;-;-;-;-;-;-;-;0;0;0;0;0;0;0
Provisiones (db);34,35;-;-;-;-;-;-;-;72,11;10,24;0;109,67;82,64;82,64;159,11
TOTAL DEUDORES COMERCIALES;4.690,22;4.782,35;-;7.355,97;6.006,26;-;-;-;3.494,29;3.089,14;2.233,33;2.170,65;1.507,75;1.958,76;2.322,37
Cuentas Por Cobrar A Socios y Accionistas;0;-;-;0;-;-;-;-;0;0;0;0;0;0;0
Anticipos y Avances;8,61;0;-;0;0;-;-;-;15,89;15,96;4,86;0,03;349,24;79,07;125
Anticipo De Imptos. y Contrib.O Saldos A Favor;1.186,95;1.005,26;-;943,95;662,48;-;-;-;239,37;0;251,64;136,58;141,99;94,8;93,2
Cuentas Por Cobrar a Trabajadores;-;-;-;-;-;-;-;-;21,85;9,09;33,32;21,41;66,87;24,22;17,91
Activos Biológicos CP;0;0;-;0;0;-;-;-;-;-;-;-;-;-;-
Deudores Varios / Otros Activos No Financieros;0;0;-;70,1;0;-;-;-;26,75;4,74;3,52;8,4;371,62;1.586,72;1.431,26
TOTAL OTROS DEUDORES;1.195,56;1.005,26;-;1.014,05;662,48;-;-;-;303,87;29,79;293,34;166,43;929,72;1.784,80;1.667,37
Materias Primas;-;-;-;-;-;-;-;-;730,26;611,17;538,14;741,65;1.027,69;723,76;609,21
Productos En Proceso;-;-;-;-;-;-;-;-;328,43;146,41;253,89;399,29;388,26;51,18;19,66
Productos Terminados;-;-;-;-;-;-;-;-;592,09;547,48;454,72;540,13;530,44;849,27;774,55
M/Cías No Fabricadas Por La Emp;-;-;-;-;-;-;-;-;175,01;80,98;16,44;0;4,52;3,8;1,6
Materiales, Repuestos y Accesorios;-;-;-;-;-;-;-;-;29,04;23,21;17,67;1,95;4,88;5,18;5,14
